12:25:48,-5.800,-10.697,0.903;-0.410;0.152
12:25:50,-5.967,-10.531,0.908;-0.403;0.177
12:25:51,-5.612,-10.351,0.918;-0.404;0.155
12:25:52,-5.864,-10.456,0.938;-0.403;0.158
12:25:53,-5.595,-10.002,0.937;-0.410;0.154
12:25:54,-5.844,-10.534,0.940;-0.410;0.168
12:25:55,-5.770,-10.633,0.945;-0.413;0.170
12:25:56,-6.060,-10.798,0.947;-0.415;0.164
12:25:57,-5.453,-10.298,0.950;-0.409;0.157
12:25:58,-5.334,-10.526,0.943;-0.417;0.165
12:25:59,-5.521,-10.684,0.941;-0.410;0.162
12:26:00,-5.625,-11.540,0.940;-0.405;0.153
12:26:01,-5.707,-10.531,0.942;-0.410;0.167
12:26:02,-5.389,-10.651,0.947;-0.416;0.166
12:26:03,-5.501,-10.538,0.934;-0.415;0.158
12:26:04,-5.964,-10.436,0.931;-0.417;0.144
12:26:05,-5.458,-10.493,0.938;-0.415;0.146
12:26:06,-5.628,-10.727,0.943;-0.413;0.155
12:26:07,-8.069,-8.219,0.938;-0.409;0.156
12:26:08,-6.264,-10.169,0.935;-0.413;0.167
12:26:09,-5.756,-11.131,0.944;-0.411;0.158
12:26:10,-5.384,-10.664,0.938;-0.409;0.162
12:26:11,-6.076,-10.710,0.946;-0.419;0.161
12:26:12,-5.695,-10.820,0.940;-0.409;0.160
12:26:13,-5.261,-11.212,0.944;-0.409;0.157
12:26:14,-6.863,-10.823,0.938;-0.411;0.160
12:26:15,-9.952,-8.051,0.938;-0.403;0.151
12:26:16,-6.426,-9.992,0.930;-0.416;0.168
12:26:17,-6.733,-10.265,0.935;-0.417;0.161
12:26:18,-6.443,-10.596,0.931;-0.415;0.168
12:26:19,-5.504,-10.843,0.934;-0.424;0.167
12:26:20,-5.192,-10.589,0.928;-0.411;0.154
12:26:21,-5.265,-10.634,0.933;-0.409;0.156
12:26:22,-5.391,-10.449,0.938;-0.413;0.149
12:26:23,-5.594,-10.736,0.928;-0.422;0.167
12:26:24,-5.526,-10.618,0.938;-0.423;0.161
12:26:25,-5.701,-10.658,0.931;-0.415;0.163
12:26:26,-5.610,-10.589,0.925;-0.425;0.156
12:26:27,-5.862,-10.647,0.932;-0.418;0.176
12:26:28,-5.645,-10.552,0.931;-0.415;0.161
12:26:29,-5.611,-10.492,0.939;-0.418;0.161
12:26:30,-5.778,-10.606,0.929;-0.419;0.154
12:26:31,-5.831,-10.675,0.933;-0.420;0.162
12:26:32,-5.589,-12.527,0.928;-0.423;0.166
12:26:33,-6.019,-10.446,0.935;-0.421;0.177
12:26:34,-5.912,-10.156,0.939;-0.414;0.160
12:26:35,-5.775,-10.634,0.930;-0.420;0.162
12:26:36,-5.342,-10.348,0.935;-0.424;0.158
12:26:37,-5.712,-10.324,0.936;-0.424;0.163
12:26:38,-5.617,-10.521,0.935;-0.415;0.161
12:26:39,-5.560,-10.649,0.932;-0.421;0.165
12:26:41,-5.290,-10.729,0.938;-0.416;0.172
12:26:42,-5.687,-10.804,0.927;-0.426;0.170
12:26:43,-5.849,-10.665,0.924;-0.428;0.169
12:26:44,-5.761,-10.549,0.929;-0.420;0.157
12:26:45,-5.699,-10.565,0.934;-0.417;0.164
12:26:46,-5.840,-10.467,0.931;-0.424;0.161
12:26:47,-5.632,-10.684,0.934;-0.418;0.164
12:26:48,-5.758,-10.402,0.931;-0.420;0.162
12:26:49,-5.674,-10.480,0.923;-0.419;0.163
12:26:50,-5.628,-10.507,0.925;-0.421;0.164
12:26:51,-5.953,-10.686,0.934;-0.418;0.171
12:26:52,-5.699,-10.740,0.930;-0.425;0.166
12:26:53,-5.866,-10.508,0.930;-0.416;0.151
12:26:54,-5.418,-10.427,0.926;-0.419;0.163
12:26:55,-5.369,-10.538,0.930;-0.418;0.155
12:26:56,-6.054,-10.653,0.938;-0.430;0.163
